Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF,16,0.205954435,0.02002093,0.067200686,0.359854452,0,0.372041105,0,0,0,0,0.029944347,0,0,0.141365174,0.003307806,0.002263236,0.127785761,0,0.004178281,0,0,0,0.022632355,0,0.33147696,0.70015112,45.05353328,33.23503546,23.18611439
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF,32,0.190505404,0.018817744,0.073718995,0.312917736,0,0.403320504,0,0,0,0,0.017847757,0,0,0.047917347,0.004655937,0.000193997,0.302247881,0,0.003879947,0,0,0,0.021533707,0,0.264418397,1.34385928,50.64574076,35.03694536,27.46253472
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF,48,0.250241225,0.014325079,0.019846203,0.401699092,0,0.648657487,0,0,0,0,0.01387742,0,0,0.01745869,0.00716254,0.000298439,0.255314691,0,0.002835172,0,0,0,0.023576693,0,0.276802309,1.31193784,49.6557606,39.24518723,31.84851502
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF,0,0,0.0006,0,0,0,0,0.0006,0.0006,0,0,0,0.0006,0,0.0006,0.0006,0.0006,0,0.0006,0,0,0.0006,0,0.0006,0,0.0006,0,0,28,0
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF,16,0,0.020218565,0,0,0,0,0.508930164,0.176190352,0,0,0,0.366629978,0,0.124584872,0.006354406,0.000770231,0,0.30539661,0,0,0.385693196,0,0.031964588,0,0.283059909,33.14176576,22.82110616,15.89560104,11.76774951
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF,32,0,0.013077876,0,0,0,0,0.35739966,0.092292437,0,0,0,0.144417113,0,0.152450665,0.009528167,0.001681441,0,0.540303093,0,0,0.447637002,0,0.065949859,0,0.336848713,50.14434176,22.811398,1.08035787,15.47420239
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF,48,0,0.007040146,0,0,0,0,0.213998088,0.063361314,0,0,0,0.083029023,0,0.138903198,0.009833855,0.000111748,0,0.327310914,0,0,0.240817692,0,0.069954466,0,0.344184915,54.66457768,19.79975656,0.87911634,14.49736523
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF,0,0,0.0006,0.0006,0,0.0006,0.0006,0,0.0006,0.0006,0,0,0,0,0.0006,0.0006,0,0,0.0006,0,0.0006,0,0,0,0,0.0006,0,0,28,0
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF,16,0,0.027877992,0.093352909,0,0.202051502,0.47469315,0,0.156525974,0.085168545,0,0,0,0,0.400010823,0.005882512,0,0,0.538121976,0,0.047060097,0,0,0,0,0.645541762,35.9369416,32.12392684,6.29535647,25.1074308
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF,32,0,0.023454357,0.034399723,0,0.073266943,0.263805671,0,0.081978562,0.045121715,0,0,0,0,0.188304979,0.035069848,0,0,0.496562241,0,0.024124481,0,0,0,0,0.563127939,40.5963564,25.24189732,1.55627296,25.8638813
