Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5,DTL 6,DTL 7,DTL 8,DTL 9,DTL 10,DTL 11,DTL 12,DTL 13,DTL 14,DTL 15,DTL 16,DTL 17,DTL 18,DTL 19,DTL 20,DTL 21,DTL 22,DTL 23,DTL 24,DTL 25
0,0.17324583891461542,0.4668789649727348,0.5797011411758475,0.6962684966525813,0.656009869728162,0.6936281375373239,0.7079527807725348,0.7400402067465748,0.7591670513847696,0.7711465479126722,0.7792011998359004,0.792460851248741,0.7920116851900819,0.8242729479456216,0.8256453014027727,0.8270264484837219,0.8235995512095529,0.8328120739513717,0.8921515900376766,0.8895507887508196,0.9076152252779209,0.9129709470074069,0.9153039894818428,0.9150308092116142,0.9158147903855844,0.9180251589225114
1,0.18983284848324727,0.44170975486249964,0.5859583724585931,0.6359311579444922,0.6774624475625333,0.7955342929658653,0.8069118132293337,0.8294696090561375,0.8342425275810332,0.8325516332946334,0.8376993324515916,0.8360069403516154,0.8382767726813831,0.8419885733634537,0.8510439371001824,0.8896186459474761,0.8955871465026966,0.8963711592613391,0.9049026234541787,0.9097016426838589,0.9124670805119951,0.9131480069093012,0.9124780761554064,0.9135069214305913,0.9158274624563547,0.9153566770458613
2,0.12222157978503535,0.4119363054164772,0.4882891768214165,0.5802349445119921,0.5845938406415728,0.6566136860603243,0.6556706593836101,0.701843973214086,0.7001197807795191,0.7331133508703644,0.7401293056173807,0.7670042541214755,0.779990983001293,0.7813216327976268,0.785021470512968,0.7995053461211852,0.8175932660694037,0.827433664691274,0.8303301229694157,0.8332717755606925,0.83780694018386,0.8413768773719308,0.8410383461275291,0.8444068403614158,0.8522704130397923,0.8563573156576897
3,0.2000566610360474,0.4754415355893788,0.5008681769020972,0.5602624053372317,0.630432715997362,0.668816479255116,0.7277889787388061,0.775670704208315,0.8133610536324251,0.8298941189372008,0.8382420605775406,0.8469780289856775,0.8493527540984201,0.8577616661899816,0.8635824393079163,0.865046024759525,0.8623494436311064,0.8621807955313726,0.8629515967877317,0.896300252322912,0.9023719427625781,0.9118853604396648,0.9330948802919617,0.9342111950058568,0.9361629008060954,0.9349680862514088
4,0.346534927133093,0.35179779850496556,0.34934952223410853,0.36963882910099793,0.3918783418618672,0.5133175257907626,0.6789584848696573,0.6902235031106587,0.6867202956930966,0.6965060656202892,0.7212802390612573,0.7204307391858044,0.7370472297414211,0.7756522299400478,0.7969309113044442,0.806011316742208,0.8085693817515304,0.8105369455446394,0.8118526018250302,0.8145664150578604,0.8412361275395736,0.8529984704526966,0.8904411722340978,0.8989369008283988,0.9015674724759793,0.9060831244789668
5,0.04620238345141794,0.1879279200294925,0.14521047420154987,0.21042227210237757,0.20512012140973432,0.2616532919142099,0.31551899661325533,0.4317911251263548,0.47088260257368025,0.5352647819484463,0.5575105157958318,0.6524526641043533,0.7168706169790057,0.7824807748663121,0.8036072679629296,0.8320921784877228,0.8550723941376956,0.8620206772023264,0.8843617930671153,0.8998733798432267,0.9000011279163637,0.9290993062727538,0.9280705886926928,0.9262024017142996,0.9275852390278018,0.9268561835614443
6,0.06255055648625908,0.26785435669565644,0.4557001964869538,0.5548295060018266,0.5998252216146677,0.6099951391978027,0.7200091819888553,0.7254034725954491,0.7808973230066715,0.7841815694993889,0.792417627530432,0.8293695211511865,0.8341208864520001,0.8608392288694143,0.8886617758105552,0.8930513720027128,0.8905612078226801,0.8856305920615026,0.888617116868681,0.89022533075509,0.8855513468132533,0.8957072344532071,0.9031637464331917,0.9078906377729142,0.9101162241934742,0.9161512745582054
7,0.20145690805774655,0.23329538224849947,0.2503519752745468,0.27550756062695714,0.4563222099017067,0.43034490280442866,0.5187935704735753,0.5189438981344773,0.514625658543362,0.5203860526334222,0.5645420520507587,0.706258190000462,0.7412740246419182,0.7743989660423091,0.769749981438719,0.7732946370464068,0.8387723340717056,0.846128586131248,0.8517335257647664,0.8741843746122829,0.8802031317535208,0.8812893530369884,0.8809960367724808,0.8791396960903347,0.8756773654535217,0.883855650967062
8,0.12083415184860927,0.26328253433460447,0.3438686945198607,0.44610197220724546,0.6925241859414052,0.724533005481005,0.7635931103806363,0.7763517274777011,0.785891836584836,0.7943503872306394,0.797058558313588,0.834525883011842,0.8351428851872427,0.8823787482104783,0.8884999209803214,0.8917884775899534,0.8940439119759489,0.8960274110602249,0.9016022925188146,0.902693418675174,0.9019119275232402,0.8997426261230478,0.9058686732900135,0.9066540627705271,0.9118529394061652,0.9149677020716942
9,0.5378406807481518,0.49610038912887594,0.49906869053947667,0.5276378010548763,0.6219441215234534,0.7193038061431084,0.7664444766699371,0.7789528484075103,0.7757302230679399,0.774374906082943,0.8279929455428438,0.828044111817457,0.8316445919030357,0.8292077515834555,0.8630471832074947,0.8743714862961152,0.8670503321554556,0.8741626779402876,0.8768822520720252,0.8813350593767194,0.8755606961696821,0.9058618570194595,0.9077840547816883,0.9096714096561876,0.9116895585032643,0.9185759206553009
