Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,0.7796744403598268,0.7375590533669973,0.6696548394637268,0.8051515621436047,0.6810648985193648,0.8621164480447636
1,0.5705058490221209,0.5353273855579298,0.8595616773680257,0.8772692177275537,0.9207208596427157,0.8619076030927149
2,0.727103821744381,0.7627488890498393,0.8124377929244907,0.8282960078234672,0.9538066526376625,0.9645724413231311
3,0.6976570201181661,0.8130931072739022,0.723414549834833,0.8102639314932955,0.8499642147143947,0.7972776960789693
4,0.3030559568562279,0.659951770451378,0.5779202538227619,0.8999482952007908,0.8698628366319865,0.9472711868519265
5,0.7163644572495975,0.8181740068701915,0.6354551042810626,0.8596082772138932,0.9239309687474861,0.939097837786945
6,0.8323500757674751,0.6665029699514857,0.9237638784075171,0.8816883315277855,0.9464256847122228,0.8978331609600293
7,0.3284676043546239,0.8151584034349245,0.802918610252815,0.844224107752285,0.9273251662991159,0.9384314289862811
8,0.5532023700260384,0.7978044328893545,0.9066232473468334,0.8366411652664529,0.8898850628381858,0.8608143151241164
9,0.24094979470848146,0.7954753008710714,0.6243752050245418,0.8090128624713573,0.9082384236844978,0.9157234918699418
10,0.8024431830741312,0.7727908711101433,0.7464220373260319,0.8086122752006492,0.7460255476203501,0.9068889770550093
11,0.14050336220302717,0.8097322352016204,0.8342611975283086,0.9275976119797092,0.9023159995042538,0.9502794963969643
12,0.3545340486892255,0.6541550521527769,0.6774210076254027,0.6112656124259618,0.7461221820765379,0.8243196433150111
13,0.37944625619514144,0.7838799334587269,0.8247057467021052,0.8267069964715831,0.7838071451236608,0.9508349470440759
14,0.6052141646170582,0.8201185108296599,0.8533780055839475,0.9360291880686342,0.9222256129867501,0.923126558661317
15,0.43407726854111467,0.6317165059663056,0.8680860991191559,0.8158725333281736,0.9341715534278296,0.9037246104920864
16,0.517606289892462,0.7674526746168633,0.8586429203280841,0.8767277497906162,0.8742448944342814,0.8073305546005028
17,0.7768056169810397,0.8155714542353089,0.8434174121320378,0.9230488038474097,0.9423025266414209,0.9257268792779725
18,0.5192787646517298,0.6512522690506422,0.8013680801396154,0.8511122982698116,0.7242836659641211,0.9237271517616396
19,0.5932532235682975,0.7238461142273328,0.8787654860898032,0.8512853257433566,0.859849582778823,0.9252634566591934
20,0.6837391651167055,0.8598187111000397,0.7805792972823975,0.9339687259022313,0.9528246008657392,0.9424694905313201
21,0.7309689903567721,0.8549041102969606,0.8626437703615046,0.7142873110206138,0.8874815071188561,0.9217381638734434
22,0.7092879296230017,0.7542176293849141,0.8828502421253952,0.8933218212286751,0.8964149312763044,0.9198585692586649
23,0.6101289396023696,0.6685566105922295,0.837813290992783,0.9342184416905523,0.893081578927127,0.9293841990741679
24,0.579430024627604,0.8457565939516425,0.47835875574765496,0.8233379333789909,0.9232788550562487,0.8763336467864997
25,0.5039595954888718,0.7733035605519372,0.9089015283733753,0.9257817291496807,0.9481506598597554,0.9550090107127877
26,0.5242948854366055,0.8964919848104334,0.875162858729496,0.891968183202756,0.9159360074683588,0.9324721704400476
27,0.5534311662937051,0.7958980724199903,0.67345926095645,0.8990722717624058,0.8961675129212132,0.8823682721585647
28,0.37006889131522563,0.8599498423789995,0.7799761815178368,0.9392464833400714,0.9136251845767891,0.8876997401128287
29,0.4312180445855893,0.818442444810699,0.8849190338969115,0.9039761100677742,0.8756979064744794,0.925048792930482
