Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,0.0956999400434809,0.0552453370762009,0.03373245282494613,0.010969512401869302,0.012878946267522444,0.008171578167130116
1,0.027550997292440073,0.01570712499367683,0.00695649280719608,0.009988313885492992,0.01566751679564334,0.008412985731211664
2,0.02077971070175292,0.021510080412144708,0.012373788972155325,0.0069070580474079706,0.006946506361266033,0.007183152157035216
3,0.028895598344579464,0.03133091721397582,0.02163822809609181,0.017846881732892915,0.00592671343100178,0.017215640976975182
4,0.03918165588097407,0.024721536659204527,0.011515567060014711,0.013795175905790918,0.00543414671952396,0.0061373902313835715
5,0.020172181552603155,0.023199637828810484,0.011006031618417626,0.016059686093663456,0.005171349512464836,0.0037766037252000904
6,0.015469016961999302,0.011076042668355365,0.00847858298741894,0.012964755670147024,0.009940248584369786,0.014685226653788873
7,0.042926193367670645,0.14025371545854526,0.11754118131749924,0.024744918619773928,0.02549681259440609,0.018124519912810784
8,0.029978091834165804,0.024361812370750843,0.021908682348440685,0.030631146270521728,0.008537180885722848,0.005351393188112873
9,0.04373343319343197,0.027526763970751676,0.014672524924336017,0.007414980978047677,0.0076637524851903074,0.006845690220022347
10,0.016400434099139133,0.02579866860707819,0.045551780599153976,0.01680519476140118,0.007060651159710417,0.006993753288329253
11,0.0869776206621456,0.45638992507239845,0.018350848710629204,0.01190903397554131,0.011163954719395663,0.01305250705774337
12,0.18656902053543178,0.06717846289519666,0.05073535805300694,0.03040711723939963,0.04403397662569387,0.013502769901265053
13,0.038034753606036725,0.023312027220237983,0.007477166837124248,0.012722159108505712,0.008082427589642139,0.005614287796831879
14,0.03058230559762036,0.047065357713490755,0.01875981549999182,0.012411050913016228,0.011902290900765753,0.015659696967899216
15,0.05186296186445796,0.022443706664190453,0.006926556527855004,0.012667060765634924,0.007870208923376717,0.0051036930857082845
16,0.038344203917092104,0.18632337746124963,0.012646152810931899,0.007333044959905492,0.006966386633062729,0.008222717009335332
17,0.017027544581728636,0.015978140711138053,0.012704445214160713,0.007772018559195449,0.010198401230878873,0.006196656347227523
18,0.05684849635938918,0.03920509670109023,0.026734543645354346,0.01638377219386545,0.004662841728399316,0.007560302076679425
19,0.027405543147951877,0.01896490014859767,0.02651021162420411,0.023661638233116657,0.021536424533305818,0.015958277571051845
20,0.022574050412867815,0.023385038082079194,0.010255487949972705,0.008040880363563232,0.007432101230272569,0.009377654982310902
21,0.020403593750984914,0.050332344456289826,0.01251083171636414,0.02430380795560053,0.009357121649097988,0.016673629031698195
22,0.020591845349819938,0.022684445623192162,0.045934923312173526,0.03406124611516324,0.012693446531263898,0.0052586811542177795
23,0.046227822990037665,0.02778873953698631,0.03737498872439085,0.020881718380407963,0.010461818383490416,0.012819938908385167
24,0.042220221931105105,0.039373034856527364,0.021290570118773285,0.0152175555068252,0.008417957753605173,0.006632604202661881
25,0.03818321069163942,0.02436635130753103,0.006789508965344867,0.011729160535786055,0.005978296434524408,0.00261885137588788
26,0.03332371877365904,0.0607089205262194,0.022372257522266854,0.020420589276327766,0.010308880412469475,0.0093728664843649
27,0.12084520245393413,0.1650086619028852,0.04134230656854372,0.00793204987963024,0.014459952353262362,0.017865036037618194
28,0.03495873229183212,0.02252221310234681,0.011722332851378565,0.010332920085990127,0.005567557075637518,0.008161053524943545
29,0.09417574015847525,0.042656914508445394,0.012411941542311414,0.005830999229110038,0.01389009826166785,0.012438111597783921
