k,LL Pred,LL Fix
1,5323.381317742094,3564.0689894024913
2,5223.874663207986,3216.1098944012706
3,5330.524201563139,3039.0507704083507
4,5513.791970717196,3509.9844900433604
5,5181.54538575642,2818.77575743838
6,5316.343278992999,3598.2212797467296
7,5402.084856704336,3321.086891776759
8,5149.977871970663,3244.9774671856944
9,5315.942937581031,3379.546425468165
10,5297.453215687674,3376.1349836651866
