Experiments,Time,PC_OD,PC_OD pred,PJ_OD,PJ_OD pred,BV_OD,BV_OD pred,BF_OD,BF_OD pred,BO_OD,BO_OD pred,BT_OD,BT_OD pred,BC_OD,BC_OD pred,BY_OD,BY_OD pred,BU_OD,BU_OD pred,DP_OD,DP_OD pred,BL_OD,BL_OD pred,BA_OD,BA_OD pred,BP_OD,BP_OD pred,CA_OD,CA_OD pred,EL_OD,EL_OD pred,FP_OD,FP_OD pred,CH_OD,CH_OD pred,AC_OD,AC_OD pred,BH_OD,BH_OD pred,CG_OD,CG_OD pred,ER_OD,ER_OD pred,RI_OD,RI_OD pred,CC_OD,CC_OD pred,DL_OD,DL_OD pred,DF_OD,DF_OD pred,Butyrate,Butyrate pred,Acetate,Acetate pred,Lactate,Lactate pred,Succinate,Succinate pred
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.0,4.285518771449115e-12,0.0,0.0,0.0,0.0,0.0006,0.000599999997964833,0.0,0.0,0.0006,0.0006000000044400846,0.0,1.5631683230807325e-12,0.0006,0.0006000000137703775,0.0,6.606267182601711e-13,0.0,0.0,0.0006,0.0005999999975029727,0.0006,0.0005999999873036127,0.0006,0.0006000000049916107,0.0,8.380467489670779e-12,0.0006,0.0005999999947057749,0.0,3.883021074818638e-12,0.0,0.0,0.0006,0.0006000000098107865,0.0006,0.0006000000015391001,0.0006,0.000600000010668004,0.0006,0.00059999998787208,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,16,0.0,0.07748490601296526,0.0,0.010266271062931973,0.0,0.01879700608550469,0.0,0.10201129912937322,0.0,0.08644067737071119,0.0,0.1733443627242856,0.341841121,0.3255661750675813,0.0,0.05956436099473033,0.072999529,0.04145591682947883,0.0,0.0037891111935080745,0.008330701,0.016760340941010088,0.0,0.05931626017157077,0.0,0.020730539351509897,0.032475612,0.07209067761990445,0.002117975,0.0031514012669068923,0.000423595,0.001559014350595348,0.0,0.04789769967721805,0.120865758,0.14753793541531351,0.0,0.0008715517693879474,0.0,0.0,0.497159267,0.24345241363840298,0.00084719,0.0027812971940530864,0.016379005,0.009023008692629259,0.603763995,0.23941034184615406,0.0,0.13778037008323768,37.06220448,22.41568118284569,31.8131948,34.94369220689049,14.47690446,26.967006316789536,6.76492558,16.669375979446322
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,32,0.0,0.04164828913980653,0.0,0.009807058675760004,0.0,0.007209624039433414,0.0,0.07563873365243665,0.0,0.04962415044218639,0.0,0.18385272199704444,0.223361386,0.31507815734962275,0.0,0.04787557113166712,0.067694509,0.02955876595572317,0.0,0.0027648410754198454,0.009300372,0.013268118436326632,0.0,0.03266102052689564,0.0,0.010302766059913326,0.088277299,0.08704196959619367,0.011129953,0.013204124629520558,0.001372186,0.0013607449425382546,0.0,0.08861553713644807,0.580129743,0.23489960970857474,0.0,0.0010890773369982688,0.0,0.0,0.246841013,0.1451729172030141,0.001372186,0.0018586034040577477,0.012197209,0.010917947090777043,0.207047619,0.24735780627828413,0.0,0.11488549294156919,44.18220984,23.232581124680944,29.59939548,36.8311512312226,6.48711895,28.662146427547526,8.74292394,18.642265616831928
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,48,0.0,0.021192433978626427,0.0,0.008799563836918321,0.0,0.005992833043710125,0.0,0.09757133023198508,0.0,0.07485715041441363,0.0,0.24686338780790062,0.184252297,0.277235714253816,0.0,0.03354490886364814,0.026445624,0.022545070106351747,0.0,0.0014656162709696103,0.008020394,0.009401768907045797,0.0,0.01290237652965486,0.0,0.0,0.082154848,0.08801001062817775,0.021459973,0.026828915750073602,0.001083837,0.0010229397168125731,0.0,0.0945155015935374,0.552865276,0.24473693390734436,0.0,0.0010371679598391405,0.0,0.004557303753455193,0.278654504,0.14211980300907368,0.000433535,0.001448829257428123,0.01755816,0.011486980933778684,0.297079734,0.2389006567118579,0.0,0.12043279677746785,49.125764,24.446257801671567,25.67435172,36.701814466910335,3.18149782,27.818976986096008,7.94510523,19.681702056074577
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.0,4.285518771449115e-12,0.0,0.0,0.0,0.0,0.0006,0.000599999997964833,0.0,0.0,0.0006,0.0006000000044400846,0.0006,0.0005999999899945589,0.0,0.0,0.0006,0.0005999999979597993,0.0006,0.00060000001816431,0.0006,0.0005999999975029727,0.0,4.911835044599244e-12,0.0006,0.0006000000049916107,0.0,8.380467489670779e-12,0.0,2.5298813608257142e-12,0.0,3.883021074818638e-12,0.0006,0.0006000000100017124,0.0,1.9815309874708642e-12,0.0006,0.0006000000015391001,0.0006,0.000600000010668004,0.0,0.0,0.0006,0.0006000000153219321,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,16,0.0,0.0,0.0,0.008689935161674378,0.0,0.023554907934774567,0.0,0.16124871409512367,0.0,0.07885639802864924,0.0,0.026667028678831722,0.556296655,0.41879545712979604,0.0,0.08262713692601674,0.087174503,0.04550936628499306,0.007375374,0.008138764485276936,0.0,0.015498313371705348,0.342048085,0.24694240426659414,0.114499659,0.1348490578542552,0.019103428,0.0308232052738128,0.0,0.0005495883757325496,0.000725447,0.0004972073775368752,0.0,0.0075302660243280195,0.0,0.01123089841697858,0.0,0.0003722911013998307,0.034216899,0.011297127916265288,0.0,0.009678609546113437,0.002780879,0.002158294078641347,0.02115886,0.004803134201688019,0.0,0.1012330539411597,0.173865375,0.08833151943896698,1.200972,7.148336044173208,56.57878976,48.34778095789168,50.41196817,43.931295647144935,8.68255116,11.645633549651734
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,32,0.0,0.0,0.0,0.007231497958932953,0.0,0.01810146496586871,0.0,0.16927358933154546,0.0,0.05256945758400203,0.0,0.0,0.611492976,0.38597028668304234,0.0,0.07067709304473593,0.068535121,0.03005701360633286,0.008151022,0.005568211121822676,0.0,0.011181525806445353,0.140230843,0.12845622103164933,0.285951149,0.14065392685410727,0.019129949,0.05208012835760831,0.0,0.0,0.00066539,0.0007037603363315406,0.0,0.03718538536538628,0.0,0.1606268167756679,0.0,0.0005514439889233355,0.049238825,0.009506331280347325,0.0,0.0,0.002994253,0.0016548220887142463,0.023954023,0.004507198151281729,0.0,0.09963784672466923,0.177991699,0.09735240047787393,1.59898552,8.932331505813991,61.22271804,52.9442958058435,53.18028484,46.25715719045031,8.81368684,11.021440025238102
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,48,0.0,0.0,0.0,0.003483173333161166,0.0,0.014747625847199571,0.0,0.18431562979585853,0.0,0.06540953510706327,0.0,0.0,0.899807605,0.4363351169748939,0.0,0.08814052504609585,0.054458603,0.01550296143255444,0.003787289,0.003448544923432403,0.0,0.004730094411066818,0.04466389,0.06346760796950578,0.097685934,0.09997400993796245,0.003526097,0.05892070737995543,0.0,0.0,0.000652981,0.00042857373914982383,0.0,0.0572945708586826,0.0,0.30057628706354306,0.0,0.00037298292641123733,0.08149201,0.015983124491972416,0.0,0.0,0.000783577,0.0011834591523439126,0.036436331,0.006212622755675521,0.0,0.05028226864915535,0.312777825,0.08574875104470549,1.55357368,10.244812374491781,60.35181256,50.78826495351244,55.17342669,43.70717751383012,11.23214938,13.062044101831864
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.0,4.285518771449115e-12,0.0,0.0,0.0,0.0,0.0006,0.000599999997964833,0.0,0.0,0.0006,0.0006000000044400846,0.0006,0.0005999999899945589,0.0006,0.0006000000137703775,0.0,6.606267182601711e-13,0.0006,0.00060000001816431,0.0006,0.0005999999975029727,0.0006,0.0005999999873036127,0.0006,0.0006000000049916107,0.0,8.380467489670779e-12,0.0,2.5298813608257142e-12,0.0006,0.0005999999978482864,0.0,0.0,0.0,1.9815309874708642e-12,0.0,0.0,0.0,0.0,0.0006,0.00059999998787208,0.0006,0.0006000000153219321,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,16,0.0,0.0,0.0,0.009639693404143099,0.0,0.019613489124047492,0.0,0.18088151772215347,0.0,0.073873810340441,0.0,0.07917935821883644,0.743964354,0.4109885864184418,0.0,0.06209324997333956,0.15587983,0.05848557025500132,0.011977959,0.00706241333636348,0.010480714,0.020973161638726052,0.0,0.16793006816642633,0.209115204,0.14161027817138414,0.030277619,0.05948391494220658,0.001330884,0.001487693049101578,0.000332721,0.0010110278271182353,0.0,0.014712105234943186,0.0,0.019188215231574754,0.001497245,0.0007190622613681089,0.0,0.0,0.0,0.0886480471811442,0.0,0.002195021317910858,0.0,0.00210332433600175,0.306768844,0.1677678471343802,0.154881667,0.11988593351747112,0.30539048,9.246197500547233,61.39043596,45.8039435129003,54.17905765,42.48679140407418,11.98589679,13.03151200887006
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,32,0.0,0.0,0.0,0.004871215139928001,0.0,0.01240238467396141,0.0,0.20045464825839213,0.0,0.0364591366379394,0.0,0.09961420936142723,0.775864642,0.3834512386112552,0.0,0.031223791333156333,0.125267634,0.044972796167966386,0.008155989,0.0045853797693732705,0.032623958,0.01981616143891203,0.0,0.07295060020549655,0.27960405,0.15428010258879427,0.035342621,0.09477093404292691,0.004391687,0.000941513171518929,0.000209128,0.0012914085381753096,0.0,0.04104831841057896,0.0,0.1176121266020604,0.00104564,0.001099317633120871,0.0,0.0,0.0,0.06861619756304901,0.0,0.0018019355517509643,0.0,4.6851758564676015e-05,0.339205512,0.18524472864290759,0.227112938,0.11931447413402829,0.72099992,10.174182649958318,52.58407892,52.70932463825478,55.56850088,48.949770858313215,11.82875188,12.612985849262044
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,48,0.0,0.0,0.0,0.002027597820671549,0.0,0.012801529394003607,0.0,0.20893561133944044,0.0,0.0698828343861117,0.0,0.052887233402185166,0.949757822,0.4260122887000857,0.0,0.05227465896998059,0.104214934,0.04033138539825102,0.007600765,0.002581893203192404,0.014357001,0.009980644317463223,0.0,0.02531987070775943,0.163669808,0.10330677683247654,0.012836848,0.08649799332756261,0.002533588,0.0,0.000168906,0.0009127027580182048,0.0,0.051124005866520356,0.0,0.23395259642031047,0.001182341,0.0007553610464871261,0.0,0.0,0.0,0.06831615134550495,0.0,0.0010607829188847403,0.0,0.0,0.292882814,0.11402749636827486,0.260115071,0.1231766025061736,1.76906968,11.25502975240367,55.35610532,50.66134280053944,59.45763081,44.85403261198397,13.98110143,15.762891902243286
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.000471429,0.0004714290015534004,0.0,0.0,0.0,0.0,0.000471429,0.00047142899360496564,0.000471429,0.00047142899909502923,0.0,0.0,0.0,1.5631683230807325e-12,0.0,0.0,0.000471429,0.00047142899870037476,0.0,0.0,0.000471429,0.00047142899893786746,0.000471429,0.00047142900523425345,0.000471429,0.00047142899541500094,0.000471429,0.000471428998436822,0.000471429,0.00047142900485635554,0.000471429,0.0004714290040317904,0.0,0.0,0.000471429,0.0004714290047604314,0.0,0.0,0.000471429,0.00047142900161844885,0.000471429,0.00047142899192487706,0.000471429,0.0004714290062177472,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,16,0.0,0.12408705584149693,0.0,0.005922997833586328,0.0,0.01245493023915863,0.158661918,0.2116866777825812,0.0,0.04021698211543302,0.0,0.08659460182107903,0.338587804,0.1619847529391577,0.118791977,0.07072617340285695,0.0,0.010966423399599738,0.0,0.0005800814049402876,0.0,0.0022314068068871647,0.091598633,0.1292650630935379,0.0,0.017334523214796834,0.017174744,0.04646677371875454,0.000408922,0.0014584070986796867,0.000204461,0.0017190313803998817,0.035576255,0.04954200069606709,0.12431243,0.15133746987555072,0.000613384,0.0009085030556787782,0.0,0.0,0.346152869,0.2302550193985502,0.0,0.0012439558968177925,0.006951682,0.011000876905130599,0.551023026,0.22578639668208517,0.103048462,0.2255131659938847,25.63802568,21.574476953687583,59.685464,41.73628499364724,22.14417596,27.576090149667827,13.5931722,14.716960762511292
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,32,0.0,0.08952077472198783,0.0,0.006270142475186313,0.0,0.0035231402683309713,0.126627674,0.1714744607939994,0.0,0.02521801134932604,0.0,0.05466728971679454,0.277241401,0.16516023019958687,0.07491748,0.06587507814210802,0.0,0.006878982157101504,0.0,0.00041897751111862405,0.0,0.0,0.037848124,0.07052648115897511,0.0,0.0008620514847814606,0.035667573,0.04760221265271561,0.000934522,0.00439793177110791,0.000623014,0.0014808863365303759,0.055604034,0.0784420230855517,0.456981051,0.24922917284927565,0.000311507,0.0011993839190701447,0.0,0.0018133699234110928,0.197651313,0.13979979723927066,0.0,0.0003203611487512185,0.005139869,0.012404292220220041,0.235499437,0.2211292668233945,0.155130582,0.21127367033800987,27.37300208,21.659086558124734,41.15194828,43.593044371877674,21.36678998,27.679669979899465,14.47412695,17.00575381638427
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,48,0.0,0.06758444108830719,0.0,0.0054550876330342925,0.0,0.0,0.153531549,0.22226730722321525,0.0,0.04758880625717882,0.0,0.09760139702013926,0.219147244,0.14683170023537687,0.083327344,0.04840167188485118,0.0,0.0005712032063970307,0.0,0.0,0.0,0.0,0.023401402,0.03136595684766982,0.0,0.0,0.049372369,0.058907085075368834,0.001376553,0.01114747858512622,0.000642391,0.0010846584742425628,0.056255134,0.08234795456519436,0.406633769,0.25671825006249877,0.00018354,0.0012933925442025459,0.0,0.006488939473971972,0.114712754,0.11900228095316118,0.0,0.00013592641746496112,0.005414442,0.01503090711476996,0.145822852,0.21278445160118648,0.180420219,0.22737928579300443,28.44683208,22.88086136450373,36.78762604,42.76655977451118,23.73217468,26.50285935966214,20.582903,18.713841311079527
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.0006,0.0005999999904346045,0.0006,0.0005999999949088616,0.0006,0.00060000000785755,0.0006,0.000599999997964833,0.0,0.0,0.0006,0.0006000000044400846,0.0,1.5631683230807325e-12,0.0,0.0,0.0,6.606267182601711e-13,0.0,0.0,0.0006,0.0005999999975029727,0.0006,0.0005999999873036127,0.0,5.797973808962381e-12,0.0,8.380467489670779e-12,0.0006,0.0005999999947057749,0.0,3.883021074818638e-12,0.0,0.0,0.0006,0.0006000000098107865,0.0006,0.0006000000015391001,0.0,0.0,0.0,0.0,0.0006,0.0006000000153219321,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,16,0.0,0.18791563984108756,0.0,0.01047700555838521,0.0,0.0071276893143373266,0.285126075,0.1963191441600459,0.166285527,0.1128113274616362,0.388683865,0.2662831501448856,0.416968372,0.2063201350072018,0.0,0.01695324444187994,0.059078123,0.055970128847744646,0.0,0.0014327196150720565,0.0,0.007553910078451177,0.0,0.012531022136567135,0.0,0.0634773699288069,0.139597726,0.09780638318095626,0.005930622,0.0043339717431263546,0.0,0.0009329442681842153,0.0,0.04940937340864394,0.405107127,0.22415755483329453,0.0,0.0006612833886180712,0.0,0.0,0.263000292,0.21801361116820178,0.003649614,0.002757634483130405,0.0,7.581038479586265e-06,0.0,0.14449780715843724,0.473309284,0.18641771009542588,40.9549616,32.554866093830775,17.47333628,28.352185835125837,9.50877297,17.55619183091759,19.21585576,20.048923711206548
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,32,0.0,0.2149857180717359,0.0,0.007729030930949235,0.0,0.0,0.134208745,0.1367643231870441,0.045185859,0.054797777406641185,0.245936963,0.27128143188495923,0.173549667,0.1259271796407875,0.0,0.010550486738793025,0.026976632,0.04711602821341063,0.0,0.0006410718381463522,0.0,0.0020682494103213926,0.0,0.0,0.0,0.06367160085182645,0.103860034,0.1383422225784068,0.035968843,0.019957592436561904,0.0,0.0007160874445695628,0.0,0.09346338892149977,0.339231149,0.4760559745961426,0.0,0.0005183884055401528,0.0,0.0,0.174673693,0.1137858988601365,0.002922468,0.0014613260026278612,0.0,0.0006698858067220792,0.0,0.1376151252499987,0.583594475,0.17545766437942467,43.79219712,38.70141771596702,14.96073524,25.606851109875297,1.39819728,9.917339825275587,20.82460901,25.029221947648725
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,48,0.0,0.14229801593017743,0.0,0.0026553402122111627,0.0,0.0,0.102238258,0.14904334371342862,0.020767146,0.03417061550337963,0.217522543,0.38335015115070703,0.123537895,0.09625345750876728,0.0,0.0,0.02143276,0.039729194222398914,0.0,0.00039822718211510893,0.0,0.00380912901874524,0.0,0.002205439780319174,0.0,0.05076755724642003,0.099708926,0.17054715473430979,0.016374096,0.03764068109330224,0.0,0.0003032626020669421,0.0,0.07352379931041872,0.303919195,0.5113463025040147,0.0,0.000301421229498359,0.0,0.0,0.120342949,0.07794821249487843,0.001064982,0.001081359377533458,0.0,0.0,0.0,0.15090815301865756,0.574291462,0.18985219942430803,45.66858328,40.485105042248335,14.6485848,24.46120804514721,0.92954637,10.921858569425325,22.79118804,26.169374189486714
BF-BT-BC-BY-BL-BA-BP-EL-FP-AC-BH-CG-ER,0,0.0,0.0,0.0,1.3902414809641161e-11,0.0,1.8847038187920495e-12,0.000507692,0.0005076919995029987,0.0,0.0,0.000507692,0.000507691985445771,0.000507692,0.000507692006699933,0.000507692,0.0005076920126884097,0.0,0.0,0.0,1.5631683230807325e-12,0.000507692,0.0005076919927260263,0.000507692,0.0005076920131651081,0.000507692,0.000507692021156762,0.0,0.0,0.000507692,0.0005076919985713085,0.000507692,0.0005076920025694358,0.0,8.380467489670779e-12,0.000507692,0.0005076919922769725,0.000507692,0.0005076919936859766,0.000507692,0.0005076920149293844,0.000507692,0.0005076919960077023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
