Experiments,Time,PC_OD true,PC_OD pred,PC_OD stdv,PJ_OD true,PJ_OD pred,PJ_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,BF_OD true,BF_OD pred,BF_OD stdv,BO_OD true,BO_OD pred,BO_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BY_OD true,BY_OD pred,BY_OD stdv,BU_OD true,BU_OD pred,BU_OD stdv,DP_OD true,DP_OD pred,DP_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BP_OD true,BP_OD pred,BP_OD stdv,CA_OD true,CA_OD pred,CA_OD stdv,EL_OD true,EL_OD pred,EL_OD stdv,FP_OD true,FP_OD pred,FP_OD stdv,CH_OD true,CH_OD pred,CH_OD stdv,AC_OD true,AC_OD pred,AC_OD stdv,BH_OD true,BH_OD pred,BH_OD stdv,CG_OD true,CG_OD pred,CG_OD stdv,ER_OD true,ER_OD pred,ER_OD stdv,RI_OD true,RI_OD pred,RI_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DL_OD true,DL_OD pred,DL_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv,Lactate true,Lactate pred,Lactate stdv,Succinate true,Succinate pred,Succinate stdv
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,0.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.0006,0.0006,0.11412304,0.0,0.0,0.025240954,0.0006,0.0006,0.038109437,0.0006,0.0006,0.0037000056,0.0,0.0,0.020098167,0.0006,0.0006,0.0833838,0.0006,0.0006,0.109202534,0.0006,0.0006,0.089401565,0.0,0.0,0.0073572663,0.0006,0.0006,0.0028532585,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.0,0.0,0.0019507976,0.0006,0.0006,0.013468285,0.0,0.0,0.1463348,0.0006,0.0006,0.0022271203,0.0006,0.0006,0.0188304,0.0,0.0,0.16252732,0.0006,0.0006,0.13991491,0.0,0.0,15.577328,0.0,0.0,25.175724,28.0,28.0,13.386048,0.0,0.0,9.419484
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,16.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.556296655,0.4420468,0.11514596,0.0,0.0,0.025240954,0.087174503,0.062229812,0.03829279,0.007375374,0.00492439,0.0037222586,0.0,0.0,0.020098167,0.342048085,0.11777392,0.0838497,0.114499659,0.08917386,0.10954459,0.019103428,0.0015830921,0.08940162,0.0,0.0,0.0073572663,0.000725447,0.00090288324,0.0028539847,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.0,0.0,0.0019507976,0.034216899,0.031859167,0.013571475,0.0,0.0,0.1463348,0.002780879,0.00088176783,0.0022274111,0.02115886,0.019370388,0.01891885,0.0,0.0,0.16252732,0.173865375,0.12299446,0.14021106,1.200972,6.2437506,15.58258,56.57878976,15.755276,25.191639,50.41196817,32.88746,13.393368,8.68255116,3.9053457,9.422626
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,32.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.611492976,0.43864316,0.11608448,0.0,0.0,0.025240954,0.068535121,0.079091996,0.038394585,0.008151022,0.005644216,0.0037294521,0.0,0.0,0.020098167,0.140230843,0.1358955,0.08404791,0.285951149,0.100116484,0.10964403,0.019129949,0.0071274308,0.089404434,0.0,0.0,0.0073572663,0.00066539,0.0013009621,0.0028561247,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.0,0.0,0.0019507976,0.049238825,0.044784483,0.013650578,0.0,0.0,0.1463348,0.002994253,0.0012980966,0.0022289604,0.023954023,0.022107275,0.018945763,0.0,0.0,0.16252732,0.177991699,0.18463802,0.14042997,1.59898552,14.796232,15.599226,61.22271804,34.35225,25.224524,53.18028484,38.60293,13.415882,8.81368684,8.353173,9.428072
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,48.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.899807605,0.5371489,0.12152857,0.0,0.0,0.025240954,0.054458603,0.11309139,0.038795106,0.003787289,0.006596377,0.0037439805,0.0,0.0,0.020098167,0.04466389,0.16008477,0.08445777,0.097685934,0.11400107,0.109809265,0.003526097,0.061007258,0.089951135,0.0,0.0,0.0073572663,0.000652981,0.0023289684,0.0028791502,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.0,0.0,0.0019507976,0.08149201,0.07224385,0.014077889,0.0,0.0,0.1463348,0.000783577,0.0021760873,0.0022425263,0.036436331,0.026146013,0.018999819,0.0,0.0,0.16252732,0.312777825,0.32850733,0.14218564,1.55357368,21.971062,15.623598,60.35181256,49.041634,25.285223,55.17342669,42.60015,13.454833,11.23214938,11.734374,9.438231
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,0.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.0006,0.0006,0.11412304,0.0,0.0,0.025240954,0.0006,0.0006,0.038109437,0.0006,0.0006,0.0037000056,0.0006,0.0006,0.020098167,0.0,0.0,0.0833838,0.0006,0.0006,0.109202534,0.0006,0.0006,0.089401565,0.0006,0.0006,0.0073572663,0.0006,0.0006,0.0028532585,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.0006,0.0006,0.0019507976,0.0,0.0,0.013468285,0.0,0.0,0.1463348,0.0,0.0,0.0022271203,0.0,0.0,0.0188304,0.0006,0.0006,0.16252732,0.0006,0.0006,0.13991491,0.0,0.0,15.577328,0.0,0.0,25.175724,28.0,28.0,13.386048,0.0,0.0,9.419484
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,16.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.743964354,0.40386823,0.11524729,0.0,0.0,0.025240954,0.15587983,0.058289863,0.03827624,0.011977959,0.0048070312,0.0037208712,0.010480714,0.0059994077,0.020129187,0.0,0.0,0.0833838,0.209115204,0.083858006,0.10949555,0.030277619,0.001542697,0.08940162,0.001330884,0.000822311,0.00735733,0.000332721,0.0008885615,0.002853953,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.001497245,0.0007347049,0.0019510104,0.0,0.0,0.013468285,0.0,0.0,0.1463348,0.0,0.0,0.0022271203,0.0,0.0,0.0188304,0.306768844,0.22021213,0.16325481,0.154881667,0.114771105,0.14016984,0.30539048,4.3318057,15.5802,61.39043596,14.191769,25.18972,54.17905765,34.043003,13.393812,11.98589679,3.4330907,9.422088
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,32.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.775864642,0.38210785,0.11555789,0.0,0.0,0.025240954,0.125267634,0.06976992,0.03833986,0.008155989,0.0054892213,0.0037273397,0.032623958,0.010092485,0.020172613,0.0,0.0,0.0833838,0.27960405,0.09238307,0.10956531,0.035342621,0.006124615,0.089403935,0.004391687,0.0015002507,0.007357746,0.000209128,0.0012043639,0.002855547,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.00104564,0.0008603588,0.0019519147,0.0,0.0,0.013468285,0.0,0.0,0.1463348,0.0,0.0,0.0022271203,0.0,0.0,0.0188304,0.339205512,0.2828326,0.16384421,0.227112938,0.16462156,0.14032544,0.72099992,10.360053,15.590665,52.58407892,31.303936,25.218014,55.56850088,41.402687,13.41553,11.82875188,6.872299,9.4261675
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,48.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0,0.0,0.11339651,0.0,0.0,0.11122615,0.0,0.0,0.08691177,0.949757822,0.43898702,0.11823035,0.0,0.0,0.025240954,0.104214934,0.09116827,0.038525306,0.007600765,0.0064051123,0.0037409225,0.014357001,0.019736998,0.02039308,0.0,0.0,0.0833838,0.163669808,0.10285456,0.10967435,0.012836848,0.042162187,0.08969139,0.002533588,0.004229363,0.007371054,0.000168906,0.001958238,0.0028690668,0.0,0.0,0.075125046,0.0,0.0,0.14291447,0.001182341,0.0010621736,0.0019556351,0.0,0.0,0.013468285,0.0,0.0,0.1463348,0.0,0.0,0.0022271203,0.0,0.0,0.0188304,0.292882814,0.3849071,0.1657225,0.260115071,0.27353865,0.14135309,1.76906968,16.223322,15.610861,55.35610532,46.071735,25.279799,59.45763081,47.285416,13.455369,13.98110143,9.021794,9.432037
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,0.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.0006,0.0006,0.11339651,0.0006,0.0006,0.11122615,0.0006,0.0006,0.08691177,0.0006,0.0006,0.11412304,0.0,0.0,0.025240954,0.0006,0.0006,0.038109437,0.0,0.0,0.0037000056,0.0,0.0,0.020098167,0.0,0.0,0.0833838,0.0,0.0,0.109202534,0.0006,0.0006,0.089401565,0.0006,0.0006,0.0073572663,0.0,0.0,0.0028532585,0.0,0.0,0.075125046,0.0006,0.0006,0.14291447,0.0,0.0,0.0019507976,0.0,0.0,0.013468285,0.0006,0.0006,0.1463348,0.0006,0.0006,0.0022271203,0.0,0.0,0.0188304,0.0,0.0,0.16252732,0.0006,0.0006,0.13991491,0.0,0.0,15.577328,0.0,0.0,25.175724,28.0,28.0,13.386048,0.0,0.0,9.419484
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,16.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.285126075,0.1071827,0.11352119,0.166285527,0.11267573,0.11139615,0.388683865,0.18576583,0.08713222,0.416968372,0.23324674,0.11445678,0.0,0.0,0.025240954,0.059078123,0.040520247,0.038167313,0.0,0.0,0.0037000056,0.0,0.0,0.020098167,0.0,0.0,0.0833838,0.0,0.0,0.109202534,0.139597726,0.0015631996,0.08940161,0.005930622,0.0008027322,0.007357318,0.0,0.0,0.0028532585,0.0,0.0,0.075125046,0.405107127,0.12616225,0.14303726,0.0,0.0,0.0019507976,0.0,0.0,0.013468285,0.263000292,0.060645413,0.14642572,0.003649614,0.00086666725,0.0022273664,0.0,0.0,0.0188304,0.0,0.0,0.16252732,0.473309284,0.07696052,0.14001006,40.9549616,4.204703,15.578599,17.47333628,11.365085,25.181751,9.50877297,30.770607,13.389632,19.21585576,6.868661,9.424125
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,32.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.134208745,0.14031613,0.11359003,0.045185859,0.13582927,0.11146447,0.245936963,0.22650075,0.08722516,0.173549667,0.20966278,0.11440453,0.0,0.0,0.025240954,0.026976632,0.047348924,0.038179766,0.0,0.0,0.0037000056,0.0,0.0,0.020098167,0.0,0.0,0.0833838,0.0,0.0,0.109202534,0.103860034,0.007219237,0.089403585,0.035968843,0.0014359065,0.007357537,0.0,0.0,0.0028532585,0.0,0.0,0.075125046,0.339231149,0.24126421,0.14325115,0.0,0.0,0.0019507976,0.0,0.0,0.013468285,0.174673693,0.09671031,0.14650664,0.002922468,0.0012431429,0.0022285858,0.0,0.0,0.0188304,0.0,0.0,0.16252732,0.583594475,0.11212308,0.14005819,43.79219712,12.018931,15.583458,14.96073524,24.324076,25.18828,1.39819728,30.896288,13.402489,20.82460901,16.328701,9.430056
BF-BO-BT-BC-BU-CA-EL-AC-ER-RI-DF,48.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.102238258,0.19883417,0.113850504,0.020767146,0.17774218,0.11167555,0.217522543,0.28139588,0.08745863,0.123537895,0.22622919,0.11479736,0.0,0.0,0.025240954,0.02143276,0.063102596,0.038227286,0.0,0.0,0.0037000056,0.0,0.0,0.020098167,0.0,0.0,0.0833838,0.0,0.0,0.109202534,0.099708926,0.071915306,0.089844026,0.016374096,0.0045266966,0.0073647634,0.0,0.0,0.0028532585,0.0,0.0,0.075125046,0.303919195,0.45771584,0.14430887,0.0,0.0,0.0019507976,0.0,0.0,0.013468285,0.120342949,0.16872247,0.1469782,0.001064982,0.0019718565,0.0022379942,0.0,0.0,0.0188304,0.0,0.0,0.16252732,0.574291462,0.19929495,0.1405539,45.66858328,23.297754,15.603098,14.6485848,33.843346,25.20018,0.92954637,26.005974,13.42441,22.791188040000005,25.219398,9.4440365
BF-BT-BC-BY-BL-BA-BP-EL-FP-AC-BH-CG-ER,0.0,0.0,0.0,0.25926143,0.0,0.0,0.0063720094,0.0,0.0,0.015865412,0.000507692,0.000507692,0.11339651,0.0,0.0,0.11122615,0.000507692,0.000507692,0.08691177,0.000507692,0.000507692,0.11412304,0.000507692,0.000507692,0.025240954,0.0,0.0,0.038109437,0.0,0.0,0.0037000056,0.000507692,0.000507692,0.020098167,0.000507692,0.000507692,0.0833838,0.000507692,0.000507692,0.109202534,0.0,0.0,0.089401565,0.000507692,0.000507692,0.0073572663,0.000507692,0.000507692,0.0028532585,0.0,0.0,0.075125046,0.000507692,0.000507692,0.14291447,0.000507692,0.000507692,0.0019507976,0.000507692,0.000507692,0.013468285,0.000507692,0.000507692,0.1463348,0.0,0.0,0.0022271203,0.0,0.0,0.0188304,0.0,0.0,0.16252732,0.0,0.0,0.13991491,0.0,0.0,15.577328,0.0,0.0,25.175724,28.0,28.0,13.386048,0.0,0.0,9.419484
