Experiments,Time,s1 true,s1 pred,s1 stdv,s2 true,s2 pred,s2 stdv,s3 true,s3 pred,s3 stdv,s4 true,s4 pred,s4 stdv,s5 true,s5 pred,s5 stdv,s6 true,s6 pred,s6 stdv,s7 true,s7 pred,s7 stdv,s8 true,s8 pred,s8 stdv,s9 true,s9 pred,s9 stdv,s10 true,s10 pred,s10 stdv,s11 true,s11 pred,s11 stdv,s12 true,s12 pred,s12 stdv,s13 true,s13 pred,s13 stdv,s14 true,s14 pred,s14 stdv,s15 true,s15 pred,s15 stdv,s16 true,s16 pred,s16 stdv,s17 true,s17 pred,s17 stdv,s18 true,s18 pred,s18 stdv,s19 true,s19 pred,s19 stdv,s20 true,s20 pred,s20 stdv
Richness_5_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010222553,0.010222553129430434,0.0,0.0,0.0,0.0,0.0105217295,0.01052172979538557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010272146,0.010272146060901322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009746487,0.009746487139818405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009133716,0.009133716063726594,0.0
Richness_5_12,26.0,0.0,0.00035387764985728154,0.036924999569432515,0.0,0.0610098841762472,0.08326185512824225,0.114642285,0.09652244392595843,0.020465375092211024,0.0,0.013547037604695333,0.025906868119661697,0.071923435,0.05493726261568632,0.019365466481356952,0.0,0.0,0.00984455751505825,0.0,0.006991156895306716,0.04481832603985936,0.08685191,0.08147168467513843,0.022922691377715854,0.0,0.0,0.029295539885676458,0.0,0.004383865847299495,0.01966640637459638,0.0,0.0,0.055532813015222615,0.0,0.005427801861988213,0.012834952328246718,0.0,0.0,0.012010898997348973,0.0,0.0,0.025626811492119872,0.06565955,0.042525529476235224,0.03098071418480086,0.0,0.0,0.013339928699969028,0.0,0.0,0.02882903784136559,0.0,0.0,0.04230018013391401,0.0,0.0,0.01194439339043174,0.10566659,0.0898113909071725,0.02833731705272502
Richness_5_12,52.0,0.0,0.018200888601045406,0.08244422583228994,0.0,0.10780397093374416,0.15068792912746876,0.26478404,0.21880791774123054,0.05157473767705412,0.0,0.03146022832916984,0.0574814758293396,0.11212113,0.10175875190303074,0.04098234666109346,0.0,0.0,0.031001124971139715,0.0,0.02066676227325459,0.1118785857531055,0.17805493,0.20336410881986744,0.05960875874771965,0.0,0.0,0.07933014580432118,0.0,0.007178882115703333,0.04428760139895771,0.0,0.0,0.13757788675944127,0.0,0.007174545732014037,0.02438523758618172,0.0,0.0,0.027726218917900614,0.0,0.009106852288414125,0.05517137425721241,0.13594183,0.08033133029695527,0.06325638292210556,0.0,0.0,0.033496688774405925,0.0,0.0,0.06322241565208886,0.0,0.0,0.10862917273196615,0.0,0.0,0.023811921238192646,0.2065443,0.1984071848751725,0.06561253104083242
Richness_5_12,78.0,0.0,0.03659039511888906,0.08927632862227242,0.0,0.10090825410890858,0.1440826519726759,0.24747863,0.23283199982248703,0.062088715317367704,0.0,0.0348298992849827,0.06172028686530684,0.10005796,0.09392608642724198,0.04343926345185234,0.0,0.0,0.03558726429993886,0.0,0.024372293704909564,0.11733889413862109,0.159363,0.21912437469792323,0.06739259042160306,0.0,0.0,0.08858420911961762,0.0,0.005445751685091038,0.05027577942353867,0.0,0.0,0.12004836769689575,0.0,0.004332976769781283,0.02430195567799487,0.0,0.003649794191109168,0.026400197438729123,0.0,0.01977331689937678,0.06168900354892415,0.108271964,0.0864511306347957,0.0733908843286537,0.0,0.0,0.03599653691723015,0.0,0.0,0.06522060441715372,0.0,0.0,0.11127594059973411,0.0,0.0,0.021820980964266767,0.19959138,0.18596671045907343,0.06517359722171268
Richness_5_12,104.0,0.0,0.04474866805502131,0.07760821584009481,0.0,0.0701935357950747,0.1021196184911961,0.22563133,0.17681729720730566,0.053881466634585706,0.0,0.02976775660691544,0.05165677088518095,0.08244417,0.07813139619152532,0.04160236795147321,0.0,0.0,0.031532488752942456,0.0,0.02318256987578038,0.102682714215657,0.1454122,0.1844241072697148,0.05974975694742746,0.0,0.0,0.07021479456638602,0.0,0.002457566627429242,0.03932469360403079,0.0,0.0,0.11384818081948822,0.0,0.0019409887558885508,0.025226801524017017,0.0,0.005984250611301478,0.02330841395460448,0.0,0.027987616437016527,0.06271312837058929,0.09018896,0.0631276454328269,0.05756334232881688,0.0,0.0,0.031849050751868724,0.0,0.0024356989251437255,0.04863620919499745,0.0,0.0,0.0884487277018442,0.0,0.0,0.018030980884112813,0.16377328,0.1549104981711782,0.057926003310896146
Richness_5_12,130.0,0.0,0.044044206780348816,0.06644546142702623,0.0,0.05772578785226923,0.08536203801657116,0.1940279,0.13466822795339972,0.047143543893172435,0.0,0.025276787646300036,0.04322195870098966,0.06492137,0.05438607332414591,0.03336756252815931,0.0,0.0,0.025016824911609836,0.0,0.021457009137254568,0.08958173215557697,0.11445182,0.14734878327326495,0.051265813890230216,0.0,0.005754301158142849,0.06981824494816191,0.0,0.0008755368492479182,0.035681215162654434,0.0,0.0,0.09316857376558163,0.0,0.0,0.023155188793959613,0.0,0.0062988704605352885,0.018766092019120162,0.0,0.032791750955210475,0.05840371609997108,0.07971031,0.05648085230440003,0.05508597711517993,0.0,0.0,0.02989907471089759,0.0,0.004943040204579141,0.03904850856668585,0.0,0.0,0.07751134253224645,0.0,0.0,0.014514372216861915,0.13342468,0.11786205834224006,0.04721050126914328
Richness_5_14,0.0,0.0,0.0,0.0,0.00981895,0.009818949653883302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097040385,0.009704038638151502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010145508,0.010145507822283573,0.0,0.010400768,0.010400768605102806,0.0,0.009321001,0.009321001080703328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richness_5_14,26.0,0.0,0.0,0.037928958380476274,0.11411786,0.059043131782665625,0.08362843199950731,0.0,0.0,0.021061612050958134,0.0,0.0,0.026496734754816176,0.0,0.012500492748993564,0.019558484948233867,0.0,0.005135977601705005,0.012698823329490572,0.09364484,0.05678809971001897,0.04557683212161123,0.0,0.0,0.023479068602368702,0.0,0.012433298619068944,0.02998510238495511,0.0,0.0,0.019822753471562704,0.0,0.0513142874887782,0.05665229405671646,0.0,0.0,0.013095441101655059,0.0,0.0016409794852571963,0.012319099667439937,0.0,0.0,0.026494207302395267,0.06143144,0.059067197930917636,0.031780610115684116,0.078605145,0.0768844469411274,0.013492199634854707,0.09294424,0.0666684436812588,0.02941493079730151,0.0,0.0,0.04339965305992166,0.0,0.009530201955976425,0.012221286507356766,0.0,0.018304208782518927,0.0290069239263282
Richness_5_14,52.0,0.0,0.0,0.08396064746537313,0.20113873,0.10489875063101284,0.1511887112649246,0.0,0.0,0.05248056846126836,0.0,0.006225437160658487,0.058351192792467366,0.0,0.026282243025744112,0.041199790790287905,0.0,0.03096851231945541,0.04062890076021475,0.21994977,0.12863382477084784,0.11343965602250083,0.0,0.0,0.0604232316375235,0.0,0.03115783771263403,0.08051339875218355,0.0,0.006098772130178065,0.04440910083421956,0.0,0.141941712372482,0.13991416573595483,0.0,0.0,0.024544870721683876,0.0,0.0036146560377894876,0.02810908296336012,0.0,0.0,0.056343038040325144,0.15158787,0.11600313719312982,0.06451438090847095,0.13767076,0.17178416102211713,0.03392243456502797,0.17699562,0.14529759061961744,0.06410727370752456,0.0,0.0,0.11093867986555361,0.0,0.02043196658803037,0.024201268149903754,0.0,0.03453727073515722,0.06648392422475613
Richness_5_14,78.0,0.0,0.0,0.09054568667772145,0.16711934,0.09829959018156043,0.1444527757673182,0.0,0.0,0.0618393945862028,0.0,0.018472464410342226,0.06253619027565405,0.0,0.027709942393470133,0.043621176067017764,0.0,0.046437350375741815,0.05108925199055392,0.18763305,0.12183005056391139,0.11876104972929902,0.0,0.0,0.06798711654612077,0.0,0.03096335294564767,0.08960144469575049,0.0,0.017136010640432353,0.05033036526271939,0.0,0.1230580074212213,0.12160180590659664,0.0,0.0,0.024346770820782293,0.0,0.0033182863420787023,0.0267600386442699,0.0,0.0,0.06256676428543528,0.19262072,0.129632233047154,0.07456288995495353,0.13500321,0.16382466487374003,0.03667434887779031,0.18717937,0.14918388340140076,0.06589070045613443,0.0,0.0,0.11328360994799525,0.0,0.01977554181313257,0.022114618017835874,0.0,0.027102983864225827,0.06577518551726769
Richness_5_14,104.0,0.0,0.0,0.07865404588796032,0.11499736,0.06838949057944976,0.10232969765996636,0.0,0.0,0.05222374957566034,0.0,0.02359556598928947,0.05241972210536083,0.0,0.02644226817779982,0.04182522339114092,0.0,0.04697796622035533,0.05016305395247578,0.16312234,0.09611248541441597,0.10382811625840738,0.0,0.0030976418400659456,0.06023144729422025,0.0,0.021021886514792643,0.07103630310642295,0.0,0.01988894249040496,0.03937045347392476,0.0,0.115969684477502,0.11491412179451999,0.0,0.0,0.025301660219551048,0.0,0.0027819273633925556,0.02380443869593929,0.0,0.0,0.06340127680455021,0.16831456,0.09806596336231799,0.058347066131301695,0.10116517,0.12850663348294944,0.03269537606495154,0.16137698,0.11088588013917011,0.04905793344829057,0.0,0.0,0.08984387160888652,0.0,0.016974741621776923,0.01827035892755191,0.0,0.018550762741945226,0.058475720960460276
Richness_5_14,130.0,0.0,0.0,0.0658917977370912,0.0959278,0.05621998336419187,0.08551018369813335,0.0,0.0,0.04438552308348154,0.0,0.0252670609102168,0.04400511449814681,0.0,0.02119625150657356,0.03363234957191352,0.0,0.039402436256546824,0.04353887111409671,0.11464971,0.07552256744708608,0.09054885089589515,0.0,0.009849939087075377,0.051412300422185364,0.0,0.016352354518679224,0.06697929252829393,0.0,0.022754851065406534,0.03574877192471293,0.0,0.09475565736414904,0.09373629049431997,0.0,0.0,0.023324801603503698,0.0,0.0020724971642177986,0.01943499612976829,0.0,0.0,0.05867986765358113,0.16729666,0.09068337854945341,0.0557668923587471,0.07693858,0.10899089829374375,0.03152376503793897,0.123888634,0.08887425711150865,0.03939410392768794,0.0,0.0,0.07864495724180998,0.0,0.014033621748739122,0.01473155062072884,0.0,0.011283553433331761,0.04779371530261001
Richness_5_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094728,0.009472800202613707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009602406,0.009602406100485128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009215221,0.009215220874917773,0.0,0.009794838,0.009794837592357108,0.0,0.0093090525,0.009309052509878346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richness_5_19,26.0,0.0,0.02731675023559177,0.03759523255972397,0.0,0.011739996303226974,0.08365204369936663,0.0,0.013221933877115233,0.020836133347353347,0.0,0.0069904816472465825,0.02626271779299416,0.0,0.0,0.019550132036834644,0.0,0.003883301689501517,0.011638138975347823,0.0,0.0,0.045129083006301585,0.0,0.0,0.02339250667753312,0.07807504,0.07946006630095148,0.029779965141019105,0.0,0.0019896873006589183,0.0197901195287703,0.0,0.01573279876605649,0.05592481807422178,0.05491979,0.0477911614136437,0.013428072683317915,0.0,0.0,0.012215399462593313,0.0,0.008581946759278036,0.02605256500014641,0.0,0.015237314164562976,0.03134207300817282,0.08708281,0.0702912373968152,0.013455219605851276,0.08004615,0.06375095954978605,0.029201128346013405,0.081005976,0.04673578307374804,0.042565845126516066,0.0,0.01250160754755103,0.01209767701516884,0.0,0.005807115934756801,0.02878259774862979
Richness_5_19,52.0,0.0,0.05892782816419917,0.0837491907168686,0.0,0.0238726907527953,0.1512874765499106,0.0,0.02898694658341272,0.052057112260142535,0.0,0.022317466923134077,0.0579582188426464,0.0,0.0029596314225358578,0.04129582445595026,0.0,0.020351589821752114,0.039310862681609215,0.0,0.0,0.11256818634701027,0.0,0.0,0.060811728097689866,0.2088957,0.20634767061378234,0.08032770996984073,0.0,0.006158845654305439,0.044502020098104556,0.0,0.04606301927463141,0.13834132927437182,0.08914796,0.08592507420746376,0.025132020851214243,0.0,0.0,0.028162663171310554,0.0,0.01718608180760306,0.0557663709944789,0.0,0.03215077763844043,0.06387479475480795,0.22668622,0.16118418694219372,0.033852139097341194,0.15127382,0.1410809279667964,0.06411595553988958,0.18941344,0.11280999592587326,0.10916649455767802,0.0,0.02766775325866444,0.02405631949582432,0.0,0.013021401363131346,0.06634609639791922
Richness_5_19,78.0,0.0,0.06049255617899263,0.09061709825602282,0.0,0.025303949399180237,0.14456816910900905,0.0,0.02875885789921928,0.06230892953510869,0.0,0.030111493152379154,0.06210375181436101,0.0,0.008038723758272415,0.043779634966637504,0.0,0.03028107632983179,0.051506389320820745,0.0,0.0,0.1180502995164856,0.0,0.0,0.06874396887419731,0.18487683,0.21855248286460238,0.08959553499199746,0.0,0.008827624597277706,0.05054868655118305,0.0,0.04685318174083797,0.12059871354481189,0.08567556,0.08029893767283447,0.024863993505292115,0.0,0.0,0.026223722149115503,0.0,0.017887231471762632,0.06216997573989769,0.0,0.038376066250715546,0.07402475070107029,0.28313017,0.15779357710704645,0.03659654077213581,0.11614767,0.14698572724293335,0.06634883780048018,0.20750558,0.10857445399788368,0.11176114047560937,0.0,0.027463783705272582,0.022049922611631412,0.0,0.012145499593295916,0.06591780260680125
Richness_5_19,104.0,0.0,0.04960796580533611,0.07886140142752573,0.0,0.019628536500841953,0.1024145445541631,0.0,0.019587149066576437,0.053970982404566215,0.0,0.02945009257050657,0.05201621530580702,0.0,0.011871125944240557,0.042003661752476606,0.0,0.031097209456879327,0.05187108043120858,0.0,0.0,0.10335419578124672,0.0,0.0,0.06110228295174025,0.15392357,0.16317023041773915,0.07110506293524921,0.0,0.008286084910188896,0.03961615038354993,0.0,0.050990940834164,0.11434220154577535,0.08159343,0.0778589078694325,0.02578043818107778,0.0,0.0,0.02253661610295321,0.0,0.01696847052943795,0.06316818333143592,0.0,0.030892662783018388,0.05803420969561213,0.22249539,0.12705299828430583,0.032637295358155516,0.09136104,0.11044475649790719,0.049769803300825366,0.15917312,0.0810901570263125,0.08883717165170335,0.0,0.024146113872843822,0.01826645280552963,0.0,0.009865145912324236,0.058814653467852196
Richness_5_19,130.0,0.0,0.039001392524159684,0.06611205908970419,0.0,0.01777754796085418,0.08557750685292032,0.0,0.012677933065997737,0.04732315922196051,0.0,0.027540903285716567,0.04364440041870754,0.0,0.012500272957812086,0.03378930228489807,0.0,0.026755537086118997,0.045741940406495374,0.0,0.0,0.09025390708084391,0.0,0.0,0.05230248467713672,0.13507815,0.14396775255547745,0.06708216052733285,0.0,0.00871809606706836,0.03604775075680666,0.0,0.04715122263831906,0.09362958923581788,0.052319754,0.06670083655170522,0.023733333737911977,0.0,0.0,0.017676386619075668,0.0,0.014719394959191945,0.05858019414364568,0.0,0.030293516818460375,0.05554309808577429,0.1851399,0.11061122853743122,0.03149913969805396,0.07780361,0.08921897093430164,0.04028612704430001,0.14157215,0.06682787108168498,0.07791624778577333,0.0,0.0204206437519332,0.014767816340572892,0.0,0.0071519765725411855,0.0482391732968388
