Experiments,Time,s1 true,s1 pred,s1 stdv,s2 true,s2 pred,s2 stdv,s3 true,s3 pred,s3 stdv,s4 true,s4 pred,s4 stdv,s5 true,s5 pred,s5 stdv,s6 true,s6 pred,s6 stdv,s7 true,s7 pred,s7 stdv,s8 true,s8 pred,s8 stdv,s9 true,s9 pred,s9 stdv,s10 true,s10 pred,s10 stdv,s11 true,s11 pred,s11 stdv,s12 true,s12 pred,s12 stdv,s13 true,s13 pred,s13 stdv,s14 true,s14 pred,s14 stdv,s15 true,s15 pred,s15 stdv,s16 true,s16 pred,s16 stdv,s17 true,s17 pred,s17 stdv,s18 true,s18 pred,s18 stdv,s19 true,s19 pred,s19 stdv,s20 true,s20 pred,s20 stdv,s21 true,s21 pred,s21 stdv,s22 true,s22 pred,s22 stdv,s23 true,s23 pred,s23 stdv,s24 true,s24 pred,s24 stdv,s25 true,s25 pred,s25 stdv
Richness_10_50,0.0,0.010184,0.010184000500097101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009229732,0.009229731678699171,0.0,0.0,0.0,0.0,0.009890616,0.009890616238608985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010258782,0.010258781491995717,0.0,0.0,0.0,0.0,0.00932283,0.009322829665702415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009129079,0.009129078797023626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100281,0.010100280653630445,0.0,0.010663348,0.010663348103164438,0.0,0.010157551,0.010157550576151142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008904549,0.00890454915816874,0.0
Richness_10_50,26.0,0.082442686,0.08080774426811743,0.04880645799805272,0.0,0.0,0.03370381181565829,0.0,0.0,0.0257264360540157,0.09599914,0.03297785157937483,0.03397490373762935,0.0,0.02518060869768768,0.01752908780925,0.061580226,0.055476127855364155,0.021068885116863,0.0,0.02839505073964599,0.030218156805728924,0.0,0.018065357710585594,0.031447900364001136,0.0,0.004402500244903074,0.03087201163782627,0.0,0.009502665997441095,0.014710582401141092,0.06877992,0.04243021323783758,0.027908655584248265,0.0,0.0018084932806569642,0.009832068572560027,0.058480434,0.052387024984023034,0.027945868869205692,0.0,0.0,0.024305754729636586,0.0,0.0021512917925170516,0.01638264247102228,0.05317367,0.027038187892110876,0.022466284067578668,0.0,0.016387561575259335,0.022945140335566938,0.0,0.01424769091585143,0.017552301420412197,0.0,0.0037595658133793286,0.021467415624336628,0.064309336,0.08319584568984073,0.028418402324086323,0.03357876,0.028405044602031193,0.01719580228999318,0.06216282,0.006981902323290101,0.03362234445672274,0.0,0.03188665877342123,0.03267902091776076,0.0,0.011811650530303197,0.044683726041350624,0.06401349,0.02557854564493489,0.017223351106292917
Richness_10_50,52.0,0.11323923,0.139780220612149,0.0888705473925433,0.0,0.0,0.05105067415649378,0.0,0.0,0.04901061576478849,0.18039419,0.05651150279017436,0.059702007314141436,0.0,0.0317425148705468,0.02805915590039465,0.093636334,0.11369463736995478,0.04293478021821606,0.0,0.03878266621661197,0.04690074696947377,0.0,0.03649343622992207,0.055264804216775154,0.0,0.008045162629281677,0.04488287879697861,0.0,0.010322078608596241,0.024713603820020413,0.098173656,0.05875700389883498,0.04152655370775271,0.0,0.006614624303102112,0.015690966464357414,0.083268195,0.07852312404362127,0.04141211540178458,0.0,0.0,0.03697824839416608,0.0,0.00318399976010314,0.028323209302853813,0.07037224,0.03720702822689059,0.031884650884569155,0.0,0.027799894281028692,0.03643997408710309,0.0,0.02667831171383106,0.030671706990019976,0.0,0.00766062711044313,0.029645861651113048,0.08483253,0.13115791124869247,0.04573165583243011,0.044191524,0.03396280259660811,0.021803989123580392,0.07569806,0.010594314341696665,0.054188577039653074,0.0,0.05533401272820848,0.055711051601790906,0.0,0.023573657693802375,0.06939166791127604,0.09040979,0.03475183749321875,0.025947382353110893
Richness_10_50,78.0,0.10545304,0.11105043418656635,0.07375655997491659,0.0,0.0008582305919055955,0.047336780052352534,0.0,0.0,0.045740909940221286,0.16689205,0.05004987735628674,0.053990435060953246,0.0,0.023685994983457248,0.02715859555565192,0.07843857,0.1152863409221947,0.04357081350828684,0.0,0.03258988169287047,0.04479329051622627,0.0,0.03790034031173817,0.05167932869450209,0.0,0.0094669030911394,0.04365994588203881,0.0,0.004862493846874427,0.022210181040408505,0.08050751,0.04953698478375124,0.0373877905638742,0.0,0.008952425548325316,0.014995780957272942,0.063270256,0.0761204415708363,0.03991600076735935,0.0,0.0,0.03838693490330236,0.0,0.0027048401430970204,0.028304318794587502,0.05115236,0.03479176184314392,0.030526387307367564,0.0,0.02645728501257416,0.03316473620164739,0.0,0.026624136069745896,0.029238903579494657,0.0,0.008031793865484804,0.024379974749149325,0.06444577,0.10713719007664713,0.0381938648464597,0.03200447,0.02868832178684544,0.019488019993757044,0.05715897,0.008449387572907918,0.04582072021405015,0.0,0.050588797888741155,0.0502274534747027,0.0,0.028032946951910276,0.06884020308547179,0.07851866,0.027544125077665793,0.02287873553149322
Richness_10_50,104.0,0.08477067,0.09127709390224226,0.06287111717500515,0.0,0.0015575271926571155,0.03416888895591952,0.0,0.0,0.04313517452115834,0.12545754,0.042318825298148344,0.04642713196932702,0.0,0.015608962511270974,0.023871868237379523,0.067573465,0.09127859629734836,0.03468880641407823,0.0,0.022784967104328535,0.03552544215995934,0.0,0.03494916933621539,0.04399110478084367,0.0,0.00947183057763823,0.03717440265226912,0.0,0.0011267892946683622,0.021927035923823834,0.06874888,0.03917124156230045,0.03136558012864388,0.0,0.008447545458124539,0.011664110873461642,0.049590066,0.054130014608548827,0.028395237226743753,0.0,0.0,0.029409107886397834,0.0,0.0015990033260888936,0.020209190864213245,0.04146384,0.026290967170773838,0.023460149524288765,0.0,0.024715521909445037,0.030097467225743024,0.0,0.025087112592297345,0.026794923961592332,0.0,0.008658683516978183,0.022199319146739782,0.05528986,0.0829111362745989,0.03025196277039699,0.027351454,0.02376440495273413,0.01704772813080846,0.046404768,0.006887683427138358,0.03956271981852,0.0,0.04298956665991338,0.0422031960880509,0.0,0.025186994733670254,0.05378699895390415,0.07231441,0.02148030668988632,0.019910762984892028
Richness_10_50,130.0,0.066146456,0.06592430285317796,0.046775381683220374,0.0,0.0018012066452648412,0.027629827930500506,0.0,0.0,0.03259011682146573,0.11737973,0.033350125823251364,0.037071646630736366,0.0,0.009783252961216071,0.020762535113034275,0.057926614,0.07466116599666472,0.02863014551691223,0.0,0.019107465435807436,0.033711150954878866,0.0,0.02915936335840641,0.0344820359434479,0.0,0.008299608120530877,0.02835430954734086,0.0,0.0,0.01952636982270617,0.052145425,0.03244243031514449,0.02737777548551157,0.0,0.007817014336489181,0.009648030126532925,0.045647614,0.04778067896356264,0.025195397904722583,0.0,0.0,0.023853455827142156,0.0,0.0011921214805963726,0.01918172928254558,0.03452578,0.021328083110329632,0.019238284893609015,0.0,0.019072872287207776,0.022830471767931293,0.0,0.023195054937669823,0.024434686145392126,0.0,0.00916770916553844,0.02074911316848338,0.04439208,0.07069468972119886,0.02642317526504412,0.019966792,0.01801264288891047,0.013623802461863677,0.03575477,0.004828731462496461,0.029382117276407493,0.0,0.03618920445632545,0.03520391944685031,0.0,0.02251221974473694,0.04295206373326721,0.058198735,0.015614828775339928,0.016202669300302563
Richness_10_58,0.0,0.010568707,0.010568707324826232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010674179,0.010674178305126347,0.0,0.010080275,0.010080274818266233,0.0,0.009281081,0.00928108126319227,0.0,0.0,0.0,0.0,0.010038913,0.010038913104498004,0.0,0.0099770175,0.009977017786464648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095528625,0.00955286256926241,0.0,0.010471383,0.01047138317475188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010539107,0.01053910671951469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010538324,0.010538323845091402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richness_10_58,26.0,0.091605105,0.039599683803812624,0.04860822335240034,0.0,0.01264078686875103,0.03367191918078283,0.0,0.02276901548160115,0.025636749157823324,0.083764516,0.0761782491352676,0.033926875894870534,0.05152089,0.041625057925015696,0.01736086874862186,0.05905355,0.028796206444628325,0.021058241943283207,0.0,0.0,0.030129039924874812,0.05151392,0.06073203516460701,0.03143331235759028,0.07176921,0.03335640064669265,0.03077538572953875,0.0,0.007886778835789254,0.014580741684631526,0.0,0.0005744991568228386,0.027762924412330303,0.04884435,0.025867092902229216,0.009734036253206124,0.051671043,0.05647107162167542,0.027904962119168486,0.0,0.01141637456980149,0.024267904437555998,0.0,0.00244106010040962,0.01631493506402848,0.060580675,0.04195326369409358,0.022405362374775084,0.0,0.0,0.022908590933067075,0.0,0.0,0.017225982692945285,0.0,0.0,0.021399710258268034,0.0,0.03351263327582288,0.028282189263422186,0.03566805,0.04334592782801572,0.01717630332887743,0.0,0.003381352548984945,0.033530307565446726,0.0,0.02493742869653648,0.032690238343351385,0.0,0.0,0.04441005234843054,0.0,0.002114281232132087,0.017152728050879418
Richness_10_58,52.0,0.18312486,0.07722559948423191,0.08849338884455715,0.0,0.024349080858147687,0.050964044199799385,0.0,0.044613077414084046,0.048841723706134044,0.1110547,0.1253804852787619,0.05956444153390361,0.073292814,0.058364858340254955,0.027823487432750316,0.0932964,0.05862822917016164,0.04286217146876181,0.0,0.0,0.046761805754989894,0.068006314,0.10331107898164227,0.055209360972864996,0.11336268,0.04588775860619787,0.04474846449478376,0.0,0.005734111368488337,0.024486003692504532,0.0,0.0026207744308006653,0.04129164301382149,0.053904593,0.03938477557231446,0.015517236029581216,0.06640967,0.08176900607428239,0.04131084380834804,0.0,0.016904540661823786,0.0369298921986565,0.0,0.0032453217236068643,0.02820063453030386,0.07540267,0.05881576096121943,0.0317779231026063,0.0,0.0,0.03636429134622077,0.0,0.0,0.030159458865555266,0.0,0.0,0.029566382232657062,0.0,0.055350093843053116,0.045507813257110286,0.047011454,0.05302035984094866,0.021771761643972543,0.0,0.006303216281193014,0.05402303274052689,0.0,0.04434772137360987,0.05566617380031125,0.0,0.0,0.06903779530473031,0.0,0.0002934446922753242,0.025821240304997328
Richness_10_58,78.0,0.19964199,0.0679697150603209,0.0734325737476178,0.0,0.02633657341589224,0.047226304792680196,0.0,0.042431903878053845,0.04558929544338142,0.12055765,0.10649242757082789,0.05382596905660364,0.060089927,0.04919295830439596,0.02695744130142841,0.090349354,0.05963802265834417,0.043459421560076095,0.0,0.0,0.04466529972550459,0.056780025,0.09362964498221871,0.051603582867261855,0.09906355,0.042556329852245334,0.04353651892001986,0.0,0.0,0.02202316244445779,0.0,0.003963661854706757,0.03716171741520835,0.041673604,0.03550878305622973,0.014869065269487614,0.060634736,0.07699717722831778,0.03978979119958126,0.0,0.01717031122285695,0.03835264306127595,0.0,0.0022675895669547197,0.028177586289920953,0.068266794,0.05560074478292876,0.030407737234407595,0.0,0.0,0.033084499083189334,0.0,0.0,0.02880325129268857,0.0,0.0,0.02432122274817039,0.0,0.047058742338713655,0.03800401918438667,0.039236616,0.04567115045973136,0.01945337791223234,0.0,0.005915379937399989,0.04567050806685469,0.0,0.041397383948655886,0.050141449920296566,0.0,0.0,0.06854356462690703,0.0,0.0,0.02275671912555599
