Experiments,Time,s1 true,s1 pred,s1 stdv,s2 true,s2 pred,s2 stdv,s3 true,s3 pred,s3 stdv,s4 true,s4 pred,s4 stdv,s5 true,s5 pred,s5 stdv,s6 true,s6 pred,s6 stdv,s7 true,s7 pred,s7 stdv,s8 true,s8 pred,s8 stdv,s9 true,s9 pred,s9 stdv,s10 true,s10 pred,s10 stdv,s11 true,s11 pred,s11 stdv,s12 true,s12 pred,s12 stdv,s13 true,s13 pred,s13 stdv,s14 true,s14 pred,s14 stdv,s15 true,s15 pred,s15 stdv,s16 true,s16 pred,s16 stdv,s17 true,s17 pred,s17 stdv,s18 true,s18 pred,s18 stdv,s19 true,s19 pred,s19 stdv,s20 true,s20 pred,s20 stdv,s21 true,s21 pred,s21 stdv,s22 true,s22 pred,s22 stdv,s23 true,s23 pred,s23 stdv,s24 true,s24 pred,s24 stdv,s25 true,s25 pred,s25 stdv
Richness_10_50,0.0,0.010184,0.010184000500097101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009229732,0.009229731678699171,0.0,0.0,0.0,0.0,0.009890616,0.009890616238608985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010258782,0.010258781491995717,0.0,0.0,0.0,0.0,0.00932283,0.009322829665702415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009129079,0.009129078797023626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100281,0.010100280653630445,0.0,0.010663348,0.010663348103164438,0.0,0.010157551,0.010157550576151142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008904549,0.00890454915816874,0.0
Richness_10_50,26.0,0.082442686,0.08088392095861785,0.004492838227001639,0.0,0.0,0.004026453609296293,0.0,0.0,0.0033246843326412145,0.09599914,0.0956649717996072,0.005112131802353481,0.0,0.0,0.0016836193209645717,0.061580226,0.05717812012750656,0.0027590667848296224,0.0,0.0,0.0024677268322390034,0.0,0.0,0.0029048969009007886,0.0,0.0,0.003493520703661601,0.0,0.0,0.0018773974427978568,0.06877992,0.07156133091296901,0.0037321582101690343,0.0,0.0,0.0015002540935915923,0.058480434,0.05876605064912299,0.0026452578782980574,0.0,0.0,0.0026266062703925175,0.0,0.0,0.0011818536402728036,0.05317367,0.056662596563089807,0.0035495571228954526,0.0,0.0,0.0016875414086715973,0.0,0.0,0.001939014475966866,0.0,0.0,0.002569690322207982,0.064309336,0.06470651482078926,0.003123978973273156,0.03357876,0.03141137274814243,0.001598916296787073,0.06216282,0.0711052099686289,0.003365042981656685,0.0,0.0,0.0013102364937601918,0.0,0.0,0.003273527851533675,0.06401349,0.05618724067950431,0.0026686353047254974
Richness_10_50,52.0,0.11323923,0.11450076528001674,0.00937673924467558,0.0,0.0,0.006102845172464899,0.0,0.0,0.006364163661692623,0.18039419,0.1922021043139992,0.010012336515450693,0.0,0.0,0.0027106769766211125,0.093636334,0.08712481068680411,0.006385576725411624,0.0,0.0,0.00383597661414381,0.0,0.0,0.0051170079065427365,0.0,0.0,0.005089320721000878,0.0,0.0,0.003176665179733612,0.098173656,0.0897928459468158,0.00620740794132707,0.0,0.0,0.0024120580047952977,0.083268195,0.0843946976420833,0.004580967447578577,0.0,0.0,0.004002071933760343,0.0,0.0,0.002048469661995872,0.07037224,0.06525535778154978,0.004970044903391091,0.0,0.0,0.002684717628565869,0.0,0.0,0.0034339193922950095,0.0,0.0,0.00355724421563669,0.08483253,0.08660817098709117,0.005653200176441331,0.044191524,0.03482608474706872,0.0025516566617888037,0.07569806,0.08099069365329914,0.006409341280297909,0.0,0.0,0.002234372854243785,0.0,0.0,0.005098172349594421,0.09040979,0.0786454123298519,0.004297324828587967
Richness_10_50,78.0,0.10545304,0.10145649812229074,0.008690446354755132,0.0,0.0,0.005653361621829112,0.0,0.0,0.005948225104084326,0.16689205,0.18298658703042747,0.009667465883898885,0.0,0.0,0.002628493804301829,0.07843857,0.08021254087776075,0.007124879582738219,0.0,0.0,0.0036662409476276303,0.0,0.0,0.004789887078362948,0.0,0.0,0.004954470356148044,0.0,0.0,0.0028610897835435606,0.08050751,0.07884017664359089,0.005925067207275536,0.0,0.0,0.002310843063870416,0.063270256,0.07961114397972224,0.004816476830841188,0.0,0.0,0.004158273932593826,0.0,0.0,0.002046955212201551,0.05115236,0.056543220371043645,0.0048549386945899164,0.0,0.0,0.0024444694474933942,0.0,0.0,0.003292348158495051,0.0,0.0,0.002928800099063572,0.06444577,0.0774150496382342,0.005034888073355143,0.03200447,0.028107318425774075,0.0024951643653272904,0.05715897,0.07136468277923669,0.006347840418450268,0.0,0.0,0.0020145538293397935,0.0,0.0,0.005066102425693941,0.07851866,0.0711790061754396,0.003980917728039296
Richness_10_50,104.0,0.08477067,0.07675600857240372,0.008568705949736688,0.0,0.0,0.0040718603418936905,0.0,0.0,0.005604724099479708,0.12545754,0.15576940203037992,0.008641005893230913,0.0,0.0,0.002309057303720441,0.067573465,0.06463622400874502,0.006086983697383835,0.0,0.0,0.0029080968724834455,0.0,0.0,0.004077763271229884,0.0,0.0,0.004217836683640286,0.0,0.0,0.002821268921693057,0.06874888,0.06461723570485667,0.005121442816023114,0.0,0.0,0.0017953487255865652,0.049590066,0.06293813628181155,0.003686162521551739,0.0,0.0,0.0031871342450227047,0.0,0.0,0.0014585575050682364,0.04146384,0.04475200929337175,0.003804062161755717,0.0,0.0,0.002217442507141315,0.0,0.0,0.0030183996012381753,0.0,0.0,0.0026675591083289707,0.05528986,0.06470470365238778,0.004338526688856648,0.027351454,0.021723381880113246,0.0024964359419985677,0.046404768,0.05757148527977929,0.006167172704251156,0.0,0.0,0.0016925517789697503,0.0,0.0,0.003961350783775464,0.07231441,0.05807649919215496,0.0037682417290748615
Richness_10_50,130.0,0.066146456,0.06318521462094395,0.007474041471725368,0.0,0.0,0.0032823165905188356,0.0,0.0,0.004224509554738021,0.11737973,0.12527648469757935,0.0071056014252161015,0.0,0.0,0.002004289476547738,0.057926614,0.0539443711162666,0.005404512458688865,0.0,0.0,0.002758841902520126,0.0,0.0,0.0031947396222256064,0.0,0.0,0.0032143411039140535,0.0,0.0,0.002503962583908531,0.052145425,0.05202600338667285,0.004572863111600184,0.0,0.0,0.0014795191685737091,0.045647614,0.05335721836432805,0.0035588377107693137,0.0,0.0,0.0025852813430042865,0.0,0.0,0.001379484951353066,0.03452578,0.034734902060781,0.0031712234812952267,0.0,0.0,0.001680377722800594,0.0,0.0,0.0027436378177060072,0.0,0.0,0.0024923425347997408,0.04439208,0.0546736610776275,0.004156222860692449,0.019966792,0.016751395463475927,0.002258431394737137,0.03575477,0.042618687616737816,0.005089905562936092,0.0,0.0,0.001411584030270377,0.0,0.0,0.0031635627265185207,0.058198735,0.047563772890901745,0.003177220994819707
Richness_10_58,0.0,0.010568707,0.010568707324826232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010674179,0.010674178305126347,0.0,0.010080275,0.010080274818266233,0.0,0.009281081,0.00928108126319227,0.0,0.0,0.0,0.0,0.010038913,0.010038913104498004,0.0,0.0099770175,0.009977017786464648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095528625,0.00955286256926241,0.0,0.010471383,0.01047138317475188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010539107,0.01053910671951469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010538324,0.010538323845091402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richness_10_58,26.0,0.091605105,0.10029337915272407,0.00449956481426117,0.0,0.0,0.004026453609296293,0.0,0.0,0.0033246843326412145,0.083764516,0.09601190430323925,0.0048575716841208205,0.05152089,0.04598747094762601,0.0024657273983936384,0.05905355,0.05824819862749209,0.0027269138953447403,0.0,0.0,0.0024677268322390034,0.05151392,0.05085289335809051,0.0033381501830852534,0.07176921,0.06833855835750224,0.004089935409358203,0.0,0.0,0.0018773974427978568,0.0,0.0,0.0030610444706890005,0.04884435,0.04068879271728609,0.0022519641638411164,0.051671043,0.05876332953042129,0.002528976874668798,0.0,0.0,0.0026266062703925175,0.0,0.0,0.0011818536402728036,0.060580675,0.05644829594798306,0.0033539938675288816,0.0,0.0,0.0016875414086715973,0.0,0.0,0.001939014475966866,0.0,0.0,0.002569690322207982,0.0,0.0,0.002503267970023898,0.03566805,0.03864473609255903,0.001520139516884983,0.0,0.0,0.0018804344302352644,0.0,0.0,0.0013102364937601918,0.0,0.0,0.003273527851533675,0.0,0.0,0.001969061145085535
Richness_10_58,52.0,0.18312486,0.18807482944477982,0.009094708247242012,0.0,0.0,0.006102845172464899,0.0,0.0,0.006364163661692623,0.1110547,0.1524391182229783,0.009342609447672179,0.073292814,0.050764601449031055,0.004536359491108727,0.0932964,0.08673436970298543,0.005949165642968046,0.0,0.0,0.00383597661414381,0.068006314,0.06145521967880185,0.0063292916855134385,0.11336268,0.09547282266729962,0.006495583770144975,0.0,0.0,0.003176665179733612,0.0,0.0,0.004563919480905176,0.053904593,0.044464424147268033,0.004876938112928608,0.06640967,0.07412511967310742,0.004115704765286277,0.0,0.0,0.004002071933760343,0.0,0.0,0.002048469661995872,0.07540267,0.07980768759561307,0.004808667238407116,0.0,0.0,0.002684717628565869,0.0,0.0,0.0034339193922950095,0.0,0.0,0.00355724421563669,0.0,0.0,0.004038126273962828,0.047011454,0.04255193792494616,0.0024114464271030034,0.0,0.0,0.0030340403249307785,0.0,0.0,0.002234372854243785,0.0,0.0,0.005098172349594421,0.0,0.0,0.0029722615643341943
Richness_10_58,78.0,0.19964199,0.17713170035997905,0.008054314339163815,0.0,0.0,0.005653361621829112,0.0,0.0,0.005948225104084326,0.12055765,0.12675061114066466,0.008560137050114491,0.060089927,0.038730401276669824,0.004383614807086794,0.090349354,0.07203901491599396,0.006277853306448478,0.0,0.0,0.0036662409476276303,0.056780025,0.04634459959792192,0.005975001407647729,0.09906355,0.08096794102487515,0.006586853506228674,0.0,0.0,0.0028610897835435606,0.0,0.0,0.004109230060868607,0.041673604,0.02909346550899805,0.005523771832756541,0.060634736,0.057031739316961705,0.004246197570424659,0.0,0.0,0.004158273932593826,0.0,0.0,0.002046955212201551,0.068266794,0.06826177461846505,0.004633246368517752,0.0,0.0,0.0024444694474933942,0.0,0.0,0.003292348158495051,0.0,0.0,0.002928800099063572,0.0,0.0,0.00337516670435703,0.039236616,0.03543989534548242,0.002388370199056744,0.0,0.0,0.0025667114391789148,0.0,0.0,0.0020145538293397935,0.0,0.0,0.005066102425693941,0.0,0.0,0.002620406870002853
